累计确诊,累计治愈,累计死亡,疑似,时间,地点
733,47,0,0,2020/02/07,安徽
239,20,0,0,2020/02/07,福建
698,55,0,0,2020/02/07,江西
407,38,0,0,2020/02/07,山东
980,97,4,0,2020/02/07,河南
24953,1115,699,0,2020/02/07,湖北
803,119,0,0,2020/02/07,湖南
1075,97,1,0,2020/02/07,广东
183,17,0,0,2020/02/07,广西
122,11,2,0,2020/02/07,海南
426,31,2,0,2020/02/07,重庆
363,50,1,0,2020/02/07,四川
89,6,1,0,2020/02/07,贵州
138,12,0,0,2020/02/07,云南
1,0,0,0,2020/02/07,西藏
184,9,0,0,2020/02/07,陕西
71,9,1,0,2020/02/07,甘肃
18,3,0,0,2020/02/07,青海
44,5,0,0,2020/02/07,宁夏
42,0,0,0,2020/02/07,新疆
16,1,0,0,2020/02/07,台湾
26,0,1,0,2020/02/07,香港
10,1,0,0,2020/02/07,澳门
326,37,2,0,2020/02/08,北京
88,4,1,0,2020/02/08,天津
206,30,2,0,2020/02/08,河北
115,21,0,0,2020/02/08,山西
54,5,0,0,2020/02/08,内蒙古
106,12,0,0,2020/02/08,辽宁
78,5,1,0,2020/02/08,吉林
307,13,6,0,2020/02/08,黑龙江
292,41,1,0,2020/02/08,上海
468,51,0,0,2020/02/08,江苏
1075,173,0,0,2020/02/08,浙江
779,59,1,0,2020/02/08,安徽
250,24,0,0,2020/02/08,福建
739,72,0,0,2020/02/08,江西
435,50,1,0,2020/02/08,山东
1033,131,6,0,2020/02/08,河南
27013,1439,780,0,2020/02/08,湖北
838,159,1,0,2020/02/08,湖南
1120,125,1,0,2020/02/08,广东
195,18,1,0,2020/02/08,广西
128,15,2,0,2020/02/08,海南
446,39,2,0,2020/02/08,重庆
386,60,1,0,2020/02/08,四川
96,7,1,0,2020/02/08,贵州
140,17,0,0,2020/02/08,云南
1,0,0,0,2020/02/08,西藏
195,17,0,0,2020/02/08,陕西
79,12,1,0,2020/02/08,甘肃
18,3,0,0,2020/02/08,青海
45,13,0,0,2020/02/08,宁夏
45,0,0,0,2020/02/08,新疆
17,1,0,0,2020/02/08,台湾
26,0,1,0,2020/02/08,香港
10,1,0,0,2020/02/08,澳门
337,44,2,0,2020/02/09,北京
91,4,1,0,2020/02/09,天津
218,35,2,0,2020/02/09,河北
119,25,0,0,2020/02/09,山西
58,5,0,0,2020/02/09,内蒙古
108,12,0,0,2020/02/09,辽宁
80,12,1,0,2020/02/09,吉林
331,15,7,0,2020/02/09,黑龙江
295,44,1,0,2020/02/09,上海
492,72,0,0,2020/02/09,江苏
1092,200,0,0,2020/02/09,浙江
830,73,3,0,2020/02/09,安徽
261,35,0,0,2020/02/09,福建
772,102,1,0,2020/02/09,江西
459,63,1,0,2020/02/09,山东
1073,169,6,0,2020/02/09,河南
29631,1795,871,0,2020/02/09,湖北
879,186,1,0,2020/02/09,湖南
1151,143,1,0,2020/02/09,广东
210,18,1,0,2020/02/09,广西
136,19,3,0,2020/02/09,海南
468,51,2,0,2020/02/09,重庆
405,76,1,0,2020/02/09,四川
109,7,1,0,2020/02/09,贵州
141,18,0,0,2020/02/09,云南
1,0,0,0,2020/02/09,西藏
208,20,0,0,2020/02/09,陕西
83,16,2,0,2020/02/09,甘肃
18,3,0,0,2020/02/09,青海
49,13,0,0,2020/02/09,宁夏
49,0,0,0,2020/02/09,新疆
18,1,0,0,2020/02/09,台湾
36,0,1,0,2020/02/09,香港
10,1,0,0,2020/02/09,澳门
342,48,3,0,2020/02/10,北京
95,8,2,0,2020/02/10,天津
239,41,2,0,2020/02/10,河北
122,26,0,0,2020/02/10,山西
58,5,0,0,2020/02/10,内蒙古
108,17,0,0,2020/02/10,辽宁
81,13,1,0,2020/02/10,吉林
360,27,8,0,2020/02/10,黑龙江
302,48,1,0,2020/02/10,上海
515,84,0,0,2020/02/10,江苏
1117,250,0,0,2020/02/10,浙江
860,88,4,0,2020/02/10,安徽
267,39,0,0,2020/02/10,福建
804,127,1,0,2020/02/10,江西
486,71,1,0,2020/02/10,山东
